male,female,matable_male,matable_female,conceiving_probability,mating_age_start,mating_age_end,max_age,mutation_probability,offsprings_factor,age_on_death,fitness_on_death,age_fitness_on_death_ratio,height_on_speed,height_on_stamina,height_on_vitality,weight_on_speed,weight_on_stamina,weight_on_vitality,vitality_on_appetite,vitality_on_speed,stamina_on_appetite,stamina_on_speed,theoretical_maximum_base_appetite,theoretical_maximum_base_height,theoretical_maximum_base_speed,theoretical_maximum_base_stamina,theoretical_maximum_base_vitality,theoretical_maximum_base_weight,theoretical_maximum_height,theoretical_maximum_speed,theoretical_maximum_weight,theoretical_maximum_height_multiplier,theoretical_maximum_speed_multiplier,theoretical_maximum_stamina_multiplier,theoretical_maximum_vitality_multiplier,theoretical_maximum_weight_multiplier,sleep_restore_factor,average_generation,average_immunity,average_age,average_height,average_weight,average_max_appetite_at_age,average_max_speed_at_age,average_max_stamina_at_age,average_max_vitality_at_age,average_static_fitness,average_death_factor,average_vision_radius
327.000000,360.000000,198.000000,232.000000,0.950000,10.000000,25.000000,30.000000,0.010000,10.000000,3.000000,70.000000,16.781982,-0.050000,-0.050000,0.100000,-0.000000,-0.250000,0.250000,-0.300000,0.000000,-0.300000,0.500000,10000.000000,0.500000,15.000000,10000.000000,10000.000000,20.000000,5.000000,150.000000,400.000000,1.000000,1.000000,1.000000,1.000000,1.000000,30.000000,0.001456,0.000552,0.016012,0.003750,0.064534,5.184188,0.033438,19.733709,50.699869,0.086455,0.000186,0.436681
409.000000,434.000000,176.000000,204.000000,0.949527,9.000000,24.000000,31.000000,0.010008,9.988206,3.030968,71.148048,9.010385,-0.049275,-0.049232,0.099622,-0.000000,-0.250098,0.246450,-0.295907,0.000000,-0.299195,0.496412,10095.573944,0.498454,14.967647,10001.464048,9960.090065,19.849623,5.075298,150.902528,404.457149,0.990032,0.981461,0.983009,0.997286,0.994987,30.051178,0.002372,0.000093,0.002372,0.001360,0.014586,11.135613,0.052416,9.396923,19.825873,0.008783,0.000000,0.350933
510.000000,541.000000,143.000000,166.000000,0.949527,9.000000,24.000000,31.000000,0.010008,9.988206,3.030968,71.148048,17.491917,-0.049275,-0.049232,0.099622,-0.000000,-0.250098,0.246450,-0.295907,0.000000,-0.299195,0.496412,10095.573944,0.498454,14.967647,10001.464048,9960.090065,19.849623,5.075298,150.902528,404.457149,0.990032,0.981461,0.983009,0.997286,0.994987,30.051178,0.001903,0.000074,0.002854,0.001321,0.012767,9.318986,0.047541,7.509094,16.004856,0.007113,0.000053,0.281481
539.000000,546.000000,109.000000,114.000000,0.949527,9.000000,24.000000,31.000000,0.010008,9.988206,3.030968,71.148048,33.851715,-0.049275,-0.049232,0.099622,-0.000000,-0.250098,0.246450,-0.295907,0.000000,-0.299195,0.496412,10095.573944,0.498454,14.967647,10001.464048,9960.090065,19.849623,5.075298,150.902528,404.457149,0.990032,0.981461,0.983009,0.997286,0.994987,30.051178,0.001843,0.000072,0.003687,0.001450,0.013141,9.388596,0.051477,7.253269,15.579086,0.006978,0.000058,0.272660
548.000000,563.000000,91.000000,101.000000,0.949527,9.000000,24.000000,31.000000,0.010008,9.988206,3.030968,71.148048,65.287429,-0.049275,-0.049232,0.099622,-0.000000,-0.250098,0.246450,-0.295907,0.000000,-0.299195,0.496412,10095.573944,0.498454,14.967647,10001.464048,9960.090065,19.849623,5.075298,150.902528,404.457149,0.990032,0.981461,0.983009,0.997286,0.994987,30.051178,0.001800,0.000070,0.004500,0.001549,0.013425,9.497602,0.055527,7.067708,15.273518,0.006908,0.000063,0.266279
545.000000,526.000000,80.000000,84.000000,0.949527,9.000000,24.000000,31.000000,0.010008,9.988206,3.030968,71.148048,125.436687,-0.049275,-0.049232,0.099622,-0.000000,-0.250098,0.246450,-0.295907,0.000000,-0.299195,0.496412,10095.573944,0.498454,14.967647,10001.464048,9960.090065,19.849623,5.075298,150.902528,404.457149,0.990032,0.981461,0.983009,0.997286,0.994987,30.051178,0.001867,0.000073,0.005602,0.001720,0.014418,10.156207,0.062847,7.318346,15.894162,0.007263,0.000073,0.276225
503.000000,481.000000,60.000000,62.000000,0.949527,9.000000,24.000000,31.000000,0.010008,9.988206,3.030968,71.148048,239.987435,-0.049275,-0.049232,0.099622,-0.000000,-0.250098,0.246450,-0.295907,0.000000,-0.299195,0.496412,10095.573944,0.498454,14.967647,10001.464048,9960.090065,19.849623,5.075298,150.902528,404.457149,0.990032,0.981461,0.983009,0.997286,0.994987,30.051178,0.002033,0.000079,0.007114,0.001975,0.016128,11.332478,0.073710,7.953399,17.345022,0.008006,0.000088,0.300647
467.000000,458.000000,102.000000,106.000000,0.949527,9.000000,24.000000,31.000000,0.010008,9.988206,3.030968,71.148048,457.008511,-0.049275,-0.049232,0.099622,-0.000000,-0.250098,0.246450,-0.295907,0.000000,-0.299195,0.496412,10095.573944,0.498454,14.967647,10001.464048,9960.090065,19.849623,5.075298,150.902528,404.457149,0.990032,0.981461,0.983009,0.997286,0.994987,30.051178,0.002162,0.000084,0.008649,0.002193,0.017535,12.284328,0.083439,8.450026,18.492220,0.008611,0.000103,0.319823
462.000000,448.000000,133.000000,124.000000,0.949527,9.000000,24.000000,31.000000,0.010008,9.988206,3.030968,71.148048,865.790017,-0.049275,-0.049232,0.099622,-0.000000,-0.250098,0.246450,-0.295907,0.000000,-0.299195,0.496412,10095.573944,0.498454,14.967647,10001.464048,9960.090065,19.849623,5.075298,150.902528,404.457149,0.990032,0.981461,0.983009,0.997286,0.994987,30.051178,0.002198,0.000540,0.009890,0.002696,0.027220,18.909648,0.052815,0.092349,15.229522,0.031497,0.000116,0.325095
499.000000,474.000000,173.000000,160.000000,0.949527,9.000000,24.000000,31.000000,0.010008,9.988206,3.030968,71.148048,1630.830992,-0.049275,-0.049232,0.099622,-0.000000,-0.250098,0.246450,-0.295907,0.000000,-0.299195,0.496412,10095.573944,0.498454,14.967647,10001.464048,9960.090065,19.849623,5.075298,150.902528,404.457149,0.990032,0.981461,0.983009,0.997286,0.994987,30.051178,0.002055,0.000505,0.010277,0.002591,0.025687,17.785982,0.052332,0.086715,14.280504,0.029865,0.000120,0.304046
524.000000,483.000000,186.000000,173.000000,0.949527,9.000000,24.000000,31.000000,0.010008,9.988206,3.030968,71.148048,3052.395512,-0.049275,-0.049232,0.099622,-0.000000,-0.250098,0.246450,-0.295907,0.000000,-0.299195,0.496412,10095.573944,0.498454,14.967647,10001.464048,9960.090065,19.849623,5.075298,150.902528,404.457149,0.990032,0.981461,0.983009,0.997286,0.994987,30.051178,0.001986,0.000488,0.010924,0.002535,0.024996,17.165913,0.052530,0.084112,13.816379,0.029097,0.000127,0.293780
542.000000,502.000000,172.000000,174.000000,0.922633,9.000000,24.000000,37.000000,0.009992,9.990217,3.020751,71.094909,33.864179,-0.049476,-0.047951,0.100523,-0.000000,-0.244265,0.250403,-0.301146,0.000000,-0.291343,0.497997,10169.008333,0.499539,14.660959,9810.566981,9814.228581,19.889492,5.012858,152.946119,403.820918,0.974087,0.956965,0.982646,1.004980,0.988899,30.207749,0.002874,0.000773,0.003831,0.000764,0.032052,1.056915,0.026370,18.768568,16.380613,0.097292,0.000058,0.296243
555.000000,537.000000,178.000000,175.000000,0.922633,9.000000,24.000000,37.000000,0.009992,9.990217,3.020751,71.094909,65.439222,-0.049476,-0.047951,0.100523,-0.000000,-0.244265,0.250403,-0.301146,0.000000,-0.291343,0.497997,10169.008333,0.499539,14.660959,9810.566981,9814.228581,19.889492,5.012858,152.946119,403.820918,0.974087,0.956965,0.982646,1.004980,0.988899,30.207749,0.002747,0.000739,0.004579,0.000731,0.033209,1.047229,0.028884,17.853795,15.724581,0.093242,0.000061,0.283221
585.000000,566.000000,163.000000,147.000000,0.922633,9.000000,24.000000,37.000000,0.009992,9.990217,3.020751,71.094909,126.078614,-0.049476,-0.047951,0.100523,-0.000000,-0.244265,0.250403,-0.301146,0.000000,-0.291343,0.497997,10169.008333,0.499539,14.660959,9810.566981,9814.228581,19.889492,5.012858,152.946119,403.820918,0.974087,0.956965,0.982646,1.004980,0.988899,30.207749,0.002606,0.000701,0.005213,0.000693,0.033451,1.026526,0.031032,16.870765,14.967107,0.088834,0.000063,0.268703
807.000000,802.000000,161.000000,154.000000,0.922633,9.000000,24.000000,37.000000,0.009992,9.990217,3.020751,71.094909,242.122958,-0.049476,-0.047951,0.100523,-0.000000,-0.244265,0.250403,-0.301146,0.000000,-0.291343,0.497997,10169.008333,0.499539,14.660959,9810.566981,9814.228581,19.889492,5.012858,152.946119,403.820918,0.974087,0.956965,0.982646,1.004980,0.988899,30.207749,0.001865,0.000501,0.004351,0.000496,0.025044,0.755911,0.024832,12.029723,10.734634,0.063881,0.000049,0.192217
760.000000,747.000000,116.000000,112.000000,0.945098,9.000000,24.000000,29.000000,0.010000,9.990441,3.053840,70.761193,33324.700156,-0.049301,-0.049592,0.100368,-0.000000,-0.248323,0.247879,-0.298153,0.000000,-0.296369,0.501277,10022.859215,0.497400,14.822751,9967.840158,9989.494242,20.020115,5.034028,151.510214,405.682738,0.981521,0.973314,0.983374,0.990572,0.997580,30.012672,0.001327,0.000128,0.009954,0.000202,0.008031,11.905490,0.015990,10.082179,8.531899,0.011910,0.000137,0.203907
723.000000,720.000000,132.000000,131.000000,0.924911,9.000000,24.000000,35.000000,0.009982,9.995532,3.028316,71.030356,1665.897753,-0.049458,-0.048365,0.099809,-0.000000,-0.244334,0.251609,-0.302235,0.000000,-0.292336,0.500980,10235.335912,0.501877,14.728791,9909.365547,9770.546060,19.942487,4.998804,154.408510,404.556336,0.975205,0.958661,0.978069,1.001818,0.985731,29.998438,0.002079,0.000349,0.006930,0.001511,0.020807,11.666625,0.039739,7.919946,12.501408,0.038131,0.000073,0.204730
729.000000,708.000000,175.000000,158.000000,0.924911,9.000000,24.000000,35.000000,0.009982,9.995532,3.028316,71.030356,3140.266987,-0.049458,-0.048365,0.099809,-0.000000,-0.244334,0.251609,-0.302235,0.000000,-0.292336,0.500980,10235.335912,0.501877,14.728791,9909.365547,9770.546060,19.942487,4.998804,154.408510,404.556336,0.975205,0.958661,0.978069,1.001818,0.985731,29.998438,0.002088,0.000351,0.007655,0.001560,0.021267,11.795507,0.041946,7.944484,12.575806,0.038516,0.000080,0.205585
717.000000,684.000000,129.000000,115.000000,0.924911,9.000000,24.000000,35.000000,0.009982,9.995532,3.028316,71.030356,5886.867641,-0.049458,-0.048365,0.099809,-0.000000,-0.244334,0.251609,-0.302235,0.000000,-0.292336,0.500980,10235.335912,0.501877,14.728791,9909.365547,9770.546060,19.942487,4.998804,154.408510,404.556336,0.975205,0.958661,0.978069,1.001818,0.985731,29.998438,0.002141,0.000360,0.008565,0.001638,0.022082,12.110442,0.044586,8.141504,12.918045,0.039660,0.000089,0.210868
